63,LocationId.UndineItem2, "undine item 2 (javelin)",EventFlags.OPEN_WORLD_TONPOLE_FLAG,0xa0,2,^,0x581
64,LocationId.Salamando, "salamando",EventFlags.SALAMANDO_STOVE_FLAG,0x27,5,"",0x38c
65,LocationId.DryadSpells, "dryad spells",EventFlags.NORTHTOWN_PHANNA_FLAG,0x3A,3,added code,0x4b6
66,LocationId.DryadSeed, "dryad seed",EventFlags.NORTHTOWN_PHANNA_FLAG,0x3A,3,^,0x4b6
67,LocationId.Mara, "mara (tower key)",EventFlags.SOUTHTOWN_MARA_FLAG,0x30,2,added code,0x399
68,LocationId.TurtleIsland, "turtle island (sea hare tail)",,0xD6,1,,0x2f9
69,LocationId.DwarfElder, "dwarf elder (midge mallet)",,0xD0,1,,0x366
70,LocationId.TropicalloSprite, "tropicallo (sprite)",EventFlags.GAIAS_NAVEL_SPRITE_FLAG,0x15,8,,0x1b9
71,LocationId.TropicalloBow, "tropicallo (bow)",EventFlags.GAIAS_NAVEL_SPRITE_FLAG,0x15,8,,0x1b9
72,LocationId.Girl, "girl",,0xD7,1,,0x188
73,LocationId.Lighthouse, "lighthouse (new item)",,0xDA,1,,0xaa
74,LocationId.Kilroy, "kilroy (new item)",EventFlags.KILROY_EVENT_FLAG,0x1B,5,or 4?,0x36a
75,LocationId.MantisAnt, "mantis ant (new item)",EventFlags.POTOS_FLAG,0x10,12,,0x112
76,LocationId.AxeBeak, "axe beak (new item)",EventFlags.PURELAND_PROGRESS_FLAG,0x46,3,,0x5f1
77,LocationId.SnowDragon, "snow dragon (new item)",EventFlags.PURELAND_PROGRESS_FLAG,0x46,2,,0x5ef
78,LocationId.DragonWorm, "dragon worm (new item)",EventFlags.PURELAND_PROGRESS_FLAG,0x46,1,,0x5ed
79,LocationId.DoomWall, "doom wall",EventFlags.NORTHTOWN_RUINS_FLAG,0x2D,4,or 5,0x553
80,LocationId.Vampire, "vampire",EventFlags.NORTHTOWN_RUINS_FLAG,0x2D,8?,or 9?,0x559
81,LocationId.MechRider2, "mech rider 2",EventFlags.NORTHTOWN_CASTLE_PROGRESS_FLAG,0x35,6,or 7 or 8,0x52f
82,LocationId.Watermelon, "watermelon (new item)",EventFlags.LOST_CONTINENT_WATERMELON_FLAG,0x45,2?,,0x4b4
83,LocationId.Hexas, "hexas (new item)",EventFlags.LOST_CONTINENT_HEXAS_FLAG,0x44,6?,,0x4a2
84,LocationId.WallFace, "wall face (new item)",EventFlags.PANDORA_RUINS_FLAG,0x12,10,,0x16e
85,LocationId.MetalMantis, "metal mantis (new item)",EventFlags.RABITEMAN_GOLD_FLAG,0x58,1?,Repurposed flag,0x527
86,LocationId.JemaAtTasnica, "jema at tasnica",EventFlags.TASNICA_FLAG,0x3C,4?,,0x2d1
87,LocationId.TripleTonpole, "triple tonpole",EventFlags.ICE_PALACE_FLAG,0x26,3,(or ICE_CASTLE_SWITCHES_FLAG_2 = 5),0x66a
88,LocationId.SwordPedestal, "sword pedestal",,0xDB,1,,0x532
89,LocationId.SantaGift0, "santa gift 0",EventFlags.OPEN_WORLD_CHRISTMAS_PROGRESS,0x6F,1,Same locations are,0x37e
90,LocationId.SantaGift1, "santa gift 1",EventFlags.OPEN_WORLD_CHRISTMAS_PROGRESS,0x6F,2,also used for,0x37e
91,LocationId.SantaGift2, "santa gift 2",EventFlags.OPEN_WORLD_CHRISTMAS_PROGRESS,0x6F,3,reindeer goal mode,0x37e
92,LocationId.SantaGift3, "santa gift 3",EventFlags.OPEN_WORLD_CHRISTMAS_PROGRESS,0x6F,4,"",0x37e
93,LocationId.SantaGift4, "santa gift 4",EventFlags.OPEN_WORLD_CHRISTMAS_PROGRESS,0x6F,5,"",0x37e
94,LocationId.SantaGift5, "santa gift 5",EventFlags.OPEN_WORLD_CHRISTMAS_PROGRESS,0x6F,6,"",0x37e
95,LocationId.SantaGift6, "santa gift 6",EventFlags.OPEN_WORLD_CHRISTMAS_PROGRESS,0x6F,7,"",0x37e
96,LocationId.SantaGift7, "santa gift 7",EventFlags.OPEN_WORLD_CHRISTMAS_PROGRESS,0x6F,8,"",0x37e
